Frame,Timestamp(s),Scene Count,English Name,Chinese Name,Confidence,Image Path
0,0.00,1,locker_room,更衣室,0.6236,scene_annotations\scene_000000.jpg
10,0.33,1,locker_room,更衣室,0.6499,scene_annotations\scene_000010.jpg
20,0.67,1,locker_room,更衣室,0.6723,scene_annotations\scene_000020.jpg
30,1.00,1,locker_room,更衣室,0.6764,scene_annotations\scene_000030.jpg
40,1.33,1,locker_room,更衣室,0.6709,scene_annotations\scene_000040.jpg
50,1.67,1,locker_room,更衣室,0.6672,scene_annotations\scene_000050.jpg
60,2.00,1,locker_room,更衣室,0.6675,scene_annotations\scene_000060.jpg
70,2.33,1,locker_room,更衣室,0.7716,scene_annotations\scene_000070.jpg
80,2.67,1,locker_room,更衣室,0.6531,scene_annotations\scene_000080.jpg
90,3.00,1,locker_room,更衣室,0.6290,scene_annotations\scene_000090.jpg
100,3.33,1,locker_room,更衣室,0.8773,scene_annotations\scene_000100.jpg
120,4.00,1,locker_room,更衣室,0.7328,scene_annotations\scene_000120.jpg
130,4.33,1,locker_room,更衣室,0.5036,scene_annotations\scene_000130.jpg
170,5.67,1,locker_room,更衣室,0.8541,scene_annotations\scene_000170.jpg
460,15.33,1,stage/indoor,舞台/室内,0.5638,scene_annotations\scene_000460.jpg
470,15.67,1,stage/indoor,舞台/室内,0.5629,scene_annotations\scene_000470.jpg
480,16.00,1,stage/indoor,舞台/室内,0.5629,scene_annotations\scene_000480.jpg
490,16.33,1,stage/indoor,舞台/室内,0.5629,scene_annotations\scene_000490.jpg
500,16.67,1,stage/indoor,舞台/室内,0.5629,scene_annotations\scene_000500.jpg
510,17.00,1,stage/indoor,舞台/室内,0.5629,scene_annotations\scene_000510.jpg
520,17.33,1,stage/indoor,舞台/室内,0.5629,scene_annotations\scene_000520.jpg
530,17.67,1,stage/indoor,舞台/室内,0.5629,scene_annotations\scene_000530.jpg
540,18.00,1,stage/indoor,舞台/室内,0.5629,scene_annotations\scene_000540.jpg
550,18.33,1,stage/indoor,舞台/室内,0.5629,scene_annotations\scene_000550.jpg
560,18.67,1,stage/indoor,舞台/室内,0.5629,scene_annotations\scene_000560.jpg
570,19.00,1,stage/indoor,舞台/室内,0.5629,scene_annotations\scene_000570.jpg
580,19.33,1,stage/indoor,舞台/室内,0.5629,scene_annotations\scene_000580.jpg
590,19.67,1,stage/indoor,舞台/室内,0.5629,scene_annotations\scene_000590.jpg
600,20.00,1,stage/indoor,舞台/室内,0.6649,scene_annotations\scene_000600.jpg
730,24.33,1,locker_room,更衣室,0.6331,scene_annotations\scene_000730.jpg
740,24.67,1,locker_room,更衣室,0.6042,scene_annotations\scene_000740.jpg
770,25.67,1,elevator/door,电梯/门,0.6244,scene_annotations\scene_000770.jpg
